ticket,open_time,type,size,symbol,open_price,sl,tp,close_time,close_price,commission,taxes,swap,profit,comment
110075810,2026.02.03 18:05:01,sell,0.60,usdchf,0.77475,0.00000,0.00000,2026.02.03 20:44:13,0.77549,0.00,0.00,0.00,-57.25,#100 230417_RandomWalk_YHH_unlimited
110079731,2026.02.03 18:15:00,sell,0.60,usdcad,1.36403,0.00000,0.00000,2026.02.03 20:44:13,1.36510,0.00,0.00,0.00,-47.03,#500 230417_RandomWalk_YHH_unlimited
110073627,2026.02.03 18:00:00,buy,0.60,usdchf,0.77515,0.00000,0.00000,2026.02.03 20:44:14,0.77538,0.00,0.00,0.00,17.80,#100 230417_RandomWalk_YHH_unlimited
110073628,2026.02.03 18:00:00,buy,0.60,usdcad,1.36531,0.00000,0.00000,2026.02.03 20:44:14,1.36490,0.00,0.00,0.00,-18.02,#500 230417_RandomWalk_YHH_unlimited
110073635,2026.02.03 18:00:00,sell,0.60,eurusd,1.18127,0.00000,0.00000,2026.02.03 20:44:14,1.18117,0.00,0.00,0.00,6.00,#300 230417_RandomWalk_YHH_unlimited
110032096,2026.02.03 16:10:00,buy,0.60,usdjpy,156.072,0.000,0.000,2026.02.03 20:44:15,155.776,0.00,0.00,0.00,-114.01,#400 230417_RandomWalk_YHH_unlimited
110032100,2026.02.03 16:10:01,buy,0.60,usdcad,1.36800,0.00000,0.00000,2026.02.03 20:44:15,1.36490,0.00,0.00,0.00,-136.27,#500 230417_RandomWalk_YHH_unlimited
110073624,2026.02.03 18:00:00,buy,0.60,usdjpy,155.716,0.000,0.000,2026.02.03 20:44:15,155.776,0.00,0.00,0.00,23.11,#400 230417_RandomWalk_YHH_unlimited
109972985,2026.02.03 12:00:00,buy,0.60,audusd,0.70071,0.00000,0.00000,2026.02.03 20:44:16,0.70067,0.00,0.00,0.00,-2.40,#600 230417_RandomWalk_YHH_unlimited
109982798,2026.02.03 13:00:00,sell,0.60,usdjpy,155.919,0.000,0.000,2026.02.03 20:44:16,155.791,0.00,0.00,0.00,49.30,#400 230417_RandomWalk_YHH_unlimited
